initialization done...
Note: Outout Guide for data importation...
Date, Humidity, Temperature
11/28/2021 12:03:52 , 77.00 , 27.00
11/28/2021 12:03:54 , 77.00 , 27.00
11/28/2021 12:03:56 , 77.00 , 27.00
11/28/2021 12:03:58 , 77.00 , 27.00
11/28/2021 12:04:00 , 77.00 , 27.00
11/28/2021 12:04:02 , 77.00 , 27.00
11/28/2021 12:04:04 , 77.00 , 27.00
11/28/2021 12:04:06 , 77.00 , 27.00
11/28/2021 12:04:08 , 77.00 , 27.00
11/28/2021 12:04:10 , 77.00 , 27.00
11/28/2021 12:04:12 , 77.00 , 27.00
11/28/2021 12:04:15 , 77.00 , 27.00
11/28/2021 12:04:17 , 77.00 , 27.00
11/28/2021 12:04:19 , 77.00 , 27.00
11/28/2021 12:04:21 , 77.00 , 27.00
11/28/2021 12:04:23 , 77.00 , 27.00
11/28/2021 12:04:25 , 77.00 , 27.00
11/28/2021 12:04:27 , 77.00 , 27.00
11/28/2021 12:04:29 , 77.00 , 27.00
11/28/2021 12:04:31 , 77.00 , 27.00
11/28/2021 12:04:33 , 77.00 , 27.00
11/28/2021 12:04:35 , 77.00 , 27.00
11/28/2021 12:04:37 , 77.00 , 27.00
11/28/2021 12:04:39 , 77.00 , 27.00
11/28/2021 12:04:41 , 77.00 , 27.00
11/28/2021 12:04:44 , 77.00 , 27.00
11/28/2021 12:04:46 , 77.00 , 27.00
11/28/2021 12:04:48 , 77.00 , 27.00
11/28/2021 12:04:50 , 77.00 , 27.00
11/28/2021 12:04:52 , 77.00 , 27.00
11/28/2021 12:04:54 , 77.00 , 27.00
11/28/2021 12:04:56 , 77.00 , 27.00
11/28/2021 12:04:58 , 77.00 , 27.00
11/28/2021 12:05:00 , 77.00 , 27.00
11/28/2021 12:05:02 , 77.00 , 27.00
11/28/2021 12:05:04 , 77.00 , 27.00
11/28/2021 12:05:06 , 77.00 , 27.00
11/28/2021 12:05:08 , 77.00 , 27.00
11/28/2021 12:05:10 , 77.00 , 27.00
11/28/2021 12:05:12 , 77.00 , 27.00
11/28/2021 12:05:15 , 77.00 , 27.00
11/28/2021 12:05:17 , 77.00 , 27.00
11/28/2021 12:05:19 , 77.00 , 27.00
11/28/2021 12:05:21 , 77.00 , 27.00
11/28/2021 12:05:23 , 77.00 , 27.00
11/28/2021 12:05:25 , 77.00 , 27.00
11/28/2021 12:05:27 , 77.00 , 27.00
11/28/2021 12:05:29 , 77.00 , 27.00
11/28/2021 12:05:31 , 77.00 , 27.00
11/28/2021 12:05:33 , 77.00 , 27.00
11/28/2021 12:05:35 , 77.00 , 27.00
11/28/2021 12:05:37 , 77.00 , 27.00
11/28/2021 12:05:39 , 77.00 , 27.00
11/28/2021 12:05:41 , 77.00 , 27.00
11/28/2021 12:05:44 , 77.00 , 27.00
11/28/2021 12:05:46 , 77.00 , 27.00
11/28/2021 12:05:48 , 77.00 , 27.00
11/28/2021 12:05:50 , 77.00 , 27.00
11/28/2021 12:05:52 , 77.00 , 27.00
11/28/2021 12:05:54 , 77.00 , 27.00
11/28/2021 12:05:56 , 77.00 , 27.00
11/28/2021 12:05:58 , 77.00 , 27.00
11/28/2021 12:06:00 , 77.00 , 27.00
11/28/2021 12:06:02 , 77.00 , 27.00
11/28/2021 12:06:04 , 77.00 , 27.00
11/28/2021 12:06:06 , 77.00 , 27.00
11/28/2021 12:06:08 , 77.00 , 27.00
11/28/2021 12:06:10 , 77.00 , 27.00
11/28/2021 12:06:13 , 77.00 , 27.00
11/28/2021 12:06:15 , 77.00 , 27.00
11/28/2021 12:06:17 , 77.00 , 27.00
11/28/2021 12:06:19 , 77.00 , 27.00
11/28/2021 12:06:21 , 77.00 , 27.00
11/28/2021 12:06:23 , 77.00 , 27.00
11/28/2021 12:06:25 , 77.00 , 27.00
